Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Topic)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Duration Seconds)	CF (Start Time)	Event Type
1	All Data	7669104c757186a62bc434fff5760dc7	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:57:33	America/New_York	0	ATTEMPT				Variables	jSimpleVariableTest	1	2015-09-13 01:57:33	jSimpleVariableTest	1	1	CORRECT								IntDataType		MultiplyExpression		SimpleAssignmentExpression		SimpleVariable																																																																																														Single-KC		KC93			CS401Fall20151	28.03	1442109481	
2	All Data	e1323027b0d280b653a7c9dffb298baf	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:58:11	America/New_York	38	ATTEMPT				Variables	jVariable1_rev	1	2015-09-13 01:57:33	jVariable1_rev	1	1	CORRECT								AddExpression		IntDataType		SimpleAssignmentExpression																																																																																																Single-KC		KC11			CS401Fall20151	11.32	1442109502	
3	All Data	1cf299782b1ee7d0ed7b7a7c34183b85	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:58:28	America/New_York	17	ATTEMPT				Variables	jVariables2	1	2015-09-13 01:58:11	jVariables2	1	1	CORRECT								AddExpression		IntDataType		MultiplyExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																										Single-KC		KC38			CS401Fall20151	33.46	1442109541	
4	All Data	62a5a043028ad88b0aa16cb0ab402088	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:59:05	America/New_York	37	ATTEMPT				Variables	jVariables3	1	2015-09-13 01:58:28	jVariables3	1	1	CORRECT								IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.System.out.print																																																																																												Single-KC		KC24			CS401Fall20151	12.0	1442109557	
5	All Data	3b9cdac144a33e3cf6e179b2cc27a2ca	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:59:23	America/New_York	18	ATTEMPT				Variables	jVariable4_rev	1	2015-09-13 01:59:05	jVariable4_rev	1	1	CORRECT								IntDataType		MultiplyExpression		SimpleAssignmentExpression		java.lang.System.out.print																																																																																														Single-KC		KC50			CS401Fall20151	10.11	1442109573	
6	All Data	2f3b5c2db6e8c92ecedb1c0b73dba459	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:59:38	America/New_York	15	ATTEMPT				Variables	jprintlnTest	1	2015-09-13 01:59:23	jprintlnTest	1	0	INCORRECT								IntDataType		SimpleAssignmentExpression																																																																																																		Single-KC		KC14			CS401Fall20151	6.06	1442109584	
7	All Data	447a2ba85501e9d65b47615351a82fc3	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 01:59:53	America/New_York	15	ATTEMPT				Variables	jprintlnTest	1	2015-09-13 01:59:23	jprintlnTest	2	1	CORRECT								IntDataType		SimpleAssignmentExpression																																																																																																		Single-KC		KC14			CS401Fall20151	7.06	1442109600	
8	All Data	f9f79fb9c1c2ef1b3c1a7a92f64b7427	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:00:08	America/New_York	15	ATTEMPT				Variables	jVariables5	1	2015-09-13 01:59:53	jVariables5	1	1	CORRECT								SimpleAssignmentExpression		StringDataType		StringInitializationStatement		StringLiteral		StringVariable		java.lang.System.out.print																																																																																										Single-KC		KC98			CS401Fall20151	18.01	1442109626	
9	All Data	d087e4c1e43eeb550da088ef0cd1f0d0	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:00:35	America/New_York	27	ATTEMPT				Primitive_Data_Types	jUsingDouble	1	2015-09-13 02:00:08	jUsingDouble	1	0	INCORRECT								AddExpression		DoubleDataType		IntDataType		SimpleAssignmentExpression																																																																																														Single-KC		KC54			CS401Fall20151	10.87	1442109646	
10	All Data	27fedfcaadcba5a49d2d4af87816bd16	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:00:49	America/New_York	14	ATTEMPT				Primitive_Data_Types	jUsingDouble	1	2015-09-13 02:00:08	jUsingDouble	2	1	CORRECT								AddExpression		DoubleDataType		IntDataType		SimpleAssignmentExpression																																																																																														Single-KC		KC54			CS401Fall20151	6.73	1442109656	
